Continent,Country,HDIRank,HDI,Life Expectancy,Mean Years of Schooling,Gross national income (GNI) per capita,Life Expectancy At Birth Female,Life Expectancy At Birth Male,Mean Years Of Schooling Female,Mean Years Of Schooling Male,Estimated Gross Nationa Income Per CapitaFemale,Estimated Gross Nationa Income Per Capita Male,Share Of Seats In Parliament Women,Population Secondary Education Female,Population Secondary Education Male,Total Population,Population Under Age 5,Population Age 15-64,Population Ages 65 and older (millions) 2015,Population Median Age,Mortality Rates Infant,Mortality Rates Under-five,Deaths Due To Tuberculosis,Physicians,Public Health Expenditure,Employment To Population Ratio,Labour Force Participation Rate,Total Unemployment,Mandatory Paid Maternity Leave ,Internet Users
Asia,Kazakhstan,56,0.794,69.6,11.7,22093,74.3,64.8,11.7,11.7,16364,28226,20.1,99.7,100,17.60000038,1.9,11.69999981,1.2,29.3,12.6,14.1,8.6,36.2,2.4,67.2,71.2,5.6,126,72.9
Asia,Thailand,87,0.74,74.6,7.9,14519,78,71.3,7.7,8.2,12938,16145,6.1,40.9,45.8,68,3.8,48.79999924,7.1,38,10.5,12.3,11,3.9,5.6,70.6,71.4,1.1,90,39.3
South America,Paraguay,110,0.693,73,8.1,8182,75.2,70.9,8.1,8.2,6138,10165,16.8,46.2,47,6.599999905,0.7,4.199999809,0.4,24.9,17.5,20.5,2.9,12.3,4.5,68,71.5,4.9,63,44.4
Africa,Chad,186,0.396,51.9,2.3,1991,53,50.8,1.2,3.4,1581,2400,14.9,1.7,9.9,14,2.6,7,0.3,16,85,138.7,23,0.4,2,67.6,71.6,5.6,98,2.7
Africa,Benin,167,0.485,59.8,3.5,1979,61.2,58.3,2.8,4.3,1673,2287,7.2,15.8,30.8,10.89999962,1.7,6,0.3,18.6,64.2,99.5,9.8,0.6,2.3,70.9,71.7,1.1,98,6.8
Africa,Guinea-Bissau,178,0.424,55.5,2.9,1369,57.3,53.7,,,1139,1603,13.7,,,1.799999952,0.3,1,0.1,19.4,60.3,92.5,63,0.5,1.1,67.2,72.7,7.6,60,3.5
South America,Bolivia,118,0.674,68.7,8.2,6155,71.3,66.3,7.6,8.8,4695,7610,51.8,49.6,58.7,10.69999981,1.2,6.599999905,0.7,24.1,30.6,38.4,3.1,4.7,4.6,70.5,73.1,3.6,90,45.1
Africa,S. Sudan,181,0.418,56.1,4.8,1882,57.1,55.2,4,5.3,,,24.3,,,12.30000019,2,6.699999809,0.4,18.6,60.3,92.6,29,,1.1,,73.2,,56,17.9
North America,Bahamas,58,0.792,75.6,10.9,21565,78.5,72.5,11.5,10.5,18070,25209,16.7,87.4,87.6,0.400000006,0,0.300000012,0,32.4,9.9,12.1,0.6,28.2,3.6,63.5,74.1,14.4,91,78
Europe,Iceland,9,0.921,82.7,12.2,37065,84.2,81.2,12.2,12.6,30530,43576,41.3,100,97.2,0.300000012,0,0.200000003,0,36,1.6,2,0.3,34.8,7.2,70.8,74.1,4.4,90,98.2
South America,Peru,87,0.74,74.8,9,11295,77.5,72.2,8.4,9.5,8939,13655,22.3,56.2,67,31.39999962,3,20.5,2.1,27.5,13.1,16.9,7.2,11.3,3.3,71.5,74.1,3.5,90,40.9
Africa,Zambia,139,0.579,60.8,6.9,3464,62.9,58.8,6.4,7.4,2803,4126,12.7,52.3,48.9,16.20000076,2.9,8.300000191,0.5,16.9,43.3,64,32,1.7,2.8,67.3,75.3,10.7,84,21
Africa,Cameroon,153,0.518,56,6.1,2894,57.1,54.8,4.6,7.4,2340,3448,27.1,31.7,37.9,23.29999924,3.7,12.69999981,0.7,18.5,57.1,87.9,31,0.8,0.9,72.5,76,4.6,98,20.7
